Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2024-01272,M,B,37,3/7/2025  6:30:00 PM,,3/9/2025  6:30:00 PM,2.0,79,JUDGE,WPN5202M1,WEAPONS CARRY CONCEALED WEAPON,,
2024-03276,M,W,60,1/17/2025  7:00:00 PM,,1/18/2025  7:00:00 PM,1.0,109,SENTENCE SERVED,OBS3707M1,"OBS-MASTURBATION,ACTUAL OR SIMULATION IN PUBLIC",,
2024-03470,M,W,45,1/3/2025  6:00:00 PM,,1/5/2025  6:00:00 PM,2.0,109,JUDGE,RAP1122M1,SEXUAL ASSAULT BATTERY - SEXUAL,,
2024-03519,M,B,27,1/3/2025  6:00:00 PM,,1/5/2025  6:00:00 PM,2.0,109,JUDGE,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2024-03520,M,W,24,1/24/2025  7:00:00 PM,,1/25/2025  7:00:00 PM,1.0,109,SENTENCE SERVED,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2024-03521,M,W,33,1/3/2025  6:00:00 PM,,1/5/2025  6:00:00 PM,2.0,113,SENTENCE SERVED,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-00001,M,W,20,1/1/2025  7:01:00 AM,,1/1/2025  7:45:00 PM,1.0,79,BOND,DWI5416M1,"DWI - UNDER 21 YRS. OF AGE, ILLEGALLY CONSUME ALCOHOL",,
2025-00002,M,B,39,1/1/2025  7:01:00 AM,,3/5/2025  10:35:00 PM,63.65,79,BOND,WPN5229F4,WEAPONS DISCHARGE FIREARM - MISSILE IN/AT OCCUPIED BLDG. - MALICIOUSLY,,
2025-00003,F,B,34,1/1/2025  7:16:00 AM,,1/1/2025  12:21:00 PM,1.0,113,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00004,M,W,33,1/1/2025  1:30:00 PM,,2/28/2025  8:00:00 PM,58.27,65,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00005,M,B,34,1/1/2025  10:40:00 PM,,1/9/2025  5:23:00 PM,7.78,137,BOND,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00006,M,W,52,1/2/2025  7:47:00 AM,,2/6/2025  3:53:00 PM,35.34,137,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00007,M,B,43,1/2/2025  11:23:00 AM,,1/3/2025  12:10:00 AM,1.0,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00008,M,W,63,1/2/2025  1:09:00 PM,,7/3/2025  8:00:00 AM,181.79,113,SENTENCE SERVED,LAR2708M1,LARCENY EMBEZZLEMENT - LESS THAN $1000,,
2025-00009,M,W,32,1/2/2025  1:49:00 PM,,1/7/2025  4:16:00 PM,5.1,65,BOND,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-00011,M,W,54,1/2/2025  3:33:00 PM,,4/18/2025  8:00:00 AM,105.69,65,SENTENCE SERVED,PRT2114M1,PRT-VIOLATION OF A PROTECTIVE ORDER (GENERAL),,
2025-00012,M,B,38,1/2/2025  3:50:00 PM,,7/22/2025  8:00:00 AM,200.67,65,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00013,M,B,54,1/2/2025  7:13:00 PM,,1/14/2025  3:37:00 PM,11.85,109,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00014,F,W,39,1/3/2025  9:00:00 AM,,1/7/2025  9:00:00 AM,4.0,137,SENTENCE SERVED,ASP4845S9,"PAROLE, PROBATION, SUPERVISION VIOLATION ALCOHOL SAFETY PROGRAM VIOLATION",,
2025-00015,M,W,36,1/3/2025  9:00:00 AM,,1/7/2025  9:00:00 AM,4.0,109,SENTENCE SERVED,ASP4845S9,"PAROLE, PROBATION, SUPERVISION VIOLATION ALCOHOL SAFETY PROGRAM VIOLATION",,
2025-00016,F,W,25,1/3/2025  9:55:00 AM,,4/30/2025  10:20:00 AM,117.02,47,JUDGE,JUS4811M1,JUS-FALSE STATEMENT DURING INVESTIGATION OF ANOTHER'S CRIME,,
2025-00017,M,B,33,1/3/2025  12:27:00 PM,,1/13/2025  12:56:00 PM,10.02,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-00018,M,W,58,1/3/2025  1:30:00 PM,,1/7/2025  10:29:00 AM,3.87,137,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00019,M,W,39,1/3/2025  1:35:00 PM,,1/3/2025  3:49:00 PM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00020,M,B,36,1/3/2025  2:20:00 PM,,1/13/2025  2:37:00 PM,10.01,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00021,F,W,35,1/3/2025  7:00:00 PM,,1/4/2025  7:00:00 PM,1.0,113,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-00022,M,B,56,2/21/2025  7:00:00 PM,,2/22/2025  7:00:00 PM,1.0,113,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00023,M,W,44,1/3/2025  7:00:00 PM,,1/5/2025  7:00:00 PM,2.0,113,SENTENCE SERVED,LIC6808M2,TRAFFIC - OPERATOR'S LICENSE DRIVE WITHOUT A LICENSE,,
2025-00024,M,W,39,1/3/2025  9:28:00 PM,,1/11/2025  6:11:00 AM,7.36,137,JUDGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00025,M,W,33,1/3/2025  10:02:00 PM,,1/4/2025  8:30:00 AM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00026,M,B,27,1/3/2025  11:29:00 PM,,1/9/2025  9:24:00 AM,5.41,540,JUDGE,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-00027,F,W,39,1/4/2025  2:14:00 AM,,1/4/2025  11:28:00 AM,1.0,33,JUDGE,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00028,M,B,23,1/4/2025  2:04:00 AM,,1/4/2025  8:05:00 PM,1.0,137,BOND,BRI5118F4,BRIBERY PUBLIC OFFICIAL - POLICE - CANDIDATE FOR OFFICE-GIVING,,
2025-00029,F,W,60,1/4/2025  8:45:00 AM,,1/28/2025  1:28:00 PM,24.2,79,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00030,M,W,50,1/4/2025  7:43:00 PM,,1/4/2025  10:15:00 PM,1.0,109,HOSPITAL/TREATMENT,WPN5281F5,WEAPONS FALSE STATEMENTS ON CONSENT FORM,,
2025-00031,F,W,19,1/4/2025  10:29:00 PM,,1/5/2025  6:09:00 AM,1.0,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00032,M,B,63,1/4/2025  7:48:00 PM,,1/5/2025  7:48:00 AM,1.0,137,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-00033,M,B,41,1/4/2025  11:28:00 PM,,1/5/2025  11:29:00 AM,1.0,79,BOND,DWI5478F6,DWI-DRIVING ON SUSP/LICENSE AFTER DWI CONVICTION 3RD IN 10YRS,,
